node_id,Clustering_Coefficient
27,0.43698388391609877
0,0.9341719077568135
57,0.4638676251770316
70,0.8209027441764014
74,0.37138463711890285
86,0.45874448599470957
94,0.3709397854837483
100,0.3740250004787791
113,0.48922052320895687
138,0.8742784576310321
154,0.8763856664088683
166,0.6460745362809857
178,0.4133696323006507
230,0.371296994870214
235,0.9489513256826276
242,0.7777301577583215
246,0.3554436534120507
262,0.9342270632593214
269,0.40002523022581055
275,0.7845707555400454
280,0.49629928111619814
294,0.36520278403992207
304,0.5191061876694394
308,0.39399902231957773
309,0.5660299312832591
324,0.38131325833151697
347,0.7083113617004015
364,0.4739576553013716
367,0.4055947789600633
378,0.7037373806043713
401,0.7145736105218498
413,0.8018974826138157
416,0.3888890574050201
419,0.5290427498528982
451,0.5313102766100258
6,0.5296434053607274
1,0.9556257037156185
7,0.5345029379448717
14,0.5425766322882853
15,0.779340160265508
16,0.6953920230869367
19,0.43990557774448497
23,0.514666824865151
32,0.7531528553869672
45,0.543864404774813
46,0.4023892737652517
49,0.9382304096444827
52,0.5577942735949099
63,0.6566017684067336
68,0.44903378738169264
76,0.525420689524996
78,0.4568706154888434
95,0.5547753658241625
101,0.5594323901318531
102,0.4281291076383818
110,0.83010639100581
112,0.9323452827903597
115,0.6010329840094998
127,0.5461750663129974
129,0.7422234296470223
134,0.9350812560253409
136,0.4040037249767189
139,0.5722412795624149
153,0.5735104104092759
157,0.656719120228602
159,0.6540652142958849
167,0.9096636485695597
170,0.4577132194181491
173,0.9426941084666407
176,0.4964833732886724
184,0.45849910362405355
185,0.9498018272202069
193,0.5125370756893332
195,0.9508065836881756
201,0.7326454226691756
202,0.8086221019945516
204,0.4919417728099818
217,0.5758684288007822
221,0.8786146988227226
227,0.7549308954794126
241,0.553838364858658
247,0.6026065117832574
251,0.5724627038507815
252,0.6100276338514681
256,0.8544993500136416
257,0.9375081945719156
264,0.4498024744342467
266,0.4180489878844725
268,0.504716285614381
271,0.6874901288328332
274,0.6528710930136108
290,0.4942098847517731
293,0.46954713644847573
298,0.5625024630541872
302,0.5419200008570955
307,0.45298556729193223
321,0.7772045985351806
323,0.41343399028495403
326,0.4522103963093465
331,0.4302819847711489
336,0.5572652231393941
342,0.4750199926048859
349,0.9144141167140308
350,0.5368899698619997
354,0.7967471230941797
355,0.5985931038064755
360,0.517334479015919
361,0.7972743198680956
366,0.49570289867795003
368,0.3632800114148012
369,0.48164829453990815
383,0.3980647885410915
393,0.7683248317544686
394,0.6368247829843255
396,0.607234045397428
398,0.9350865702243991
402,0.41172162725531963
406,0.6653745094988678
408,0.43180319126541955
417,0.8028849985389049
420,0.5465493768981046
428,0.4563431328133609
434,0.37090796617565025
435,0.9312869768461033
437,0.9518843208383716
438,0.8355574520909302
441,0.6566813076161873
444,0.5903533887795979
8,0.8702518598189477
2,0.9406558243306716
26,0.7516999074990669
33,0.9565727288639944
38,0.6441673276608019
40,0.6218880735203347
50,0.854673227130312
53,0.5320641282565131
65,0.8635987223470957
66,0.7026146020113823
67,0.7267783954875624
71,0.7615829694323144
81,0.9343219786807058
82,0.5578883921844392
84,0.7375872602438021
90,0.8457375330409487
123,0.7523770536542765
133,0.6151154358567887
140,0.8074301369863014
142,0.7497258373521833
143,0.8036178256104619
150,0.821582556563873
162,0.6772770106936534
163,0.8486026313526529
168,0.9186498658725666
180,0.7136191582655623
190,0.7202484054367982
200,0.6316227604903347
222,0.8561190283534521
223,0.9592451943781075
229,0.9344619036852815
237,0.7408597311065998
245,0.9607637676097334
259,0.7888459590307799
272,0.7648414829278876
276,0.8679498412003066
279,0.8434208726576392
305,0.5198798544892772
306,0.5473832688913172
313,0.5620211102423769
319,0.7668229583902738
348,0.5881696228143164
372,0.6468540498104476
376,0.7952939235912857
